habitat_type,common_name,total_observations,locations_present
Forest,Red-eyed Vireo,694,11
Forest,Carolina Wren,646,11
Forest,Northern Cardinal,595,11
Forest,Eastern Tufted Titmouse,541,11
Forest,Eastern Wood-Pewee,486,11
Forest,Acadian Flycatcher,436,11
Forest,Red-bellied Woodpecker,398,11
Forest,Blue-gray Gnatcatcher,310,11
Forest,Ovenbird,303,9
Forest,American Robin,294,11
Forest,Wood Thrush,290,10
Forest,Carolina Chickadee,273,11
Forest,Blue Jay,213,11
Forest,Downy Woodpecker,208,11
Forest,Scarlet Tanager,199,11
Forest,White-breasted Nuthatch,188,11
Forest,Mourning Dove,162,10
Forest,Great Crested Flycatcher,154,11
Forest,Indigo Bunting,150,10
Forest,American Goldfinch,147,11
Forest,American Crow,142,11
Forest,Brown-headed Cowbird,136,10
Forest,Yellow-billed Cuckoo,133,9
Forest,Northern Parula,114,10
Forest,Eastern Towhee,98,10
Forest,Pileated Woodpecker,96,11
Forest,Hooded Warbler,64,3
Forest,Chipping Sparrow,58,8
Forest,Yellow-throated Vireo,55,6
Forest,Cedar Waxwing,51,10
Forest,Common Grackle,51,9
Forest,Red-winged Blackbird,50,6
Forest,Louisiana Waterthrush,43,5
Forest,Pine Warbler,42,5
Forest,Hairy Woodpecker,41,10
Forest,Common Yellowthroat,38,7
Forest,Field Sparrow,36,6
Forest,Gray Catbird,36,9
Forest,Song Sparrow,32,8
Forest,Worm-eating Warbler,31,5
Forest,Black-and-white Warbler,28,2
Forest,American Redstart,25,8
Forest,Warbling Vireo,25,3
Forest,Eastern Bluebird,23,6
Forest,Unidentified Chickadee,21,5
Forest,Baltimore Oriole,20,7
Forest,Northern Flicker,20,8
Forest,Red-shouldered Hawk,20,6
Forest,Swainson's Thrush,20,6
Forest,Blackpoll Warbler,16,5
Forest,Eastern Phoebe,16,7
Forest,Fish Crow,14,6
Forest,Chimney Swift,13,6
Forest,Wild Turkey,13,7
Forest,Yellow Warbler,13,7
Forest,White-eyed Vireo,12,5
Forest,Barred Owl,11,4
Forest,House Wren,11,5
Forest,Northern Mockingbird,11,6
Forest,Canada Goose,10,4
Forest,Black-throated Blue Warbler,9,4
Forest,House Finch,9,5
Forest,Veery,9,3
Forest,Brown Thrasher,7,1
Forest,Cerulean Warbler,7,3
Forest,Double-crested Cormorant,7,2
Forest,House Sparrow,7,2
Forest,Osprey,7,3
Forest,Prairie Warbler,7,2
Forest,Eastern Meadowlark,6,1
Forest,European Starling,6,3
Forest,Cape May Warbler,5,2
Forest,Grasshopper Sparrow,5,4
Forest,Great Blue Heron,5,1
Forest,Turkey Vulture,5,3
Forest,Bay-breasted Warbler,4,2
Forest,Mallard,4,1
Forest,Unidentified Crow,4,2
Forest,Yellow-breasted Chat,4,3
Forest,Belted Kingfisher,3,1
Forest,Black-throated Green Warbler,3,2
Forest,Orchard Oriole,3,3
Forest,Summer Tanager,3,2
Forest,Wood Duck,3,1
Forest,Yellow-rumped Warbler,3,1
Forest,Yellow-throated Warbler,3,1
Forest,Barn Swallow,2,2
Forest,Black-capped Chickadee,2,1
Forest,Dark-eyed Junco,2,1
Forest,Eastern Kingbird,2,2
Forest,Green Heron,2,1
Forest,Magnolia Warbler,2,2
Forest,Northern Rough-winged Swallow,2,2
Forest,Northern Waterthrush,2,2
Forest,Red-tailed Hawk,2,1
Forest,Unidentified Woodpecker,2,2
Forest,Black Vulture,1,1
Forest,Blue-winged Warbler,1,1
Forest,Horned Lark,1,1
Forest,Kentucky Warbler,1,1
Forest,Killdeer,1,1
Forest,Nashville Warbler,1,1
Forest,Peregrine Falcon,1,1
Forest,Red-headed Woodpecker,1,1
Forest,Ruby-throated Hummingbird,1,1
Forest,Swamp Sparrow,1,1
Forest,Tennessee Warbler,1,1
Forest,Unidentified Flycatcher,1,1
Grassland,Northern Cardinal,565,4
Grassland,European Starling,516,3
Grassland,Field Sparrow,506,4
Grassland,Indigo Bunting,485,4
Grassland,Grasshopper Sparrow,382,4
Grassland,Red-winged Blackbird,379,4
Grassland,Chipping Sparrow,368,4
Grassland,Carolina Wren,365,4
Grassland,American Goldfinch,362,4
Grassland,Cedar Waxwing,302,4
Grassland,Barn Swallow,266,3
Grassland,Song Sparrow,239,4
Grassland,Mourning Dove,235,4
Grassland,Brown-headed Cowbird,230,4
Grassland,American Robin,202,4
Grassland,Eastern Tufted Titmouse,187,3
Grassland,Eastern Meadowlark,180,4
Grassland,Common Grackle,176,3
Grassland,Eastern Bluebird,171,4
Grassland,Eastern Towhee,165,4
Grassland,American Crow,159,4
Grassland,Blue Jay,141,4
Grassland,Northern Mockingbird,132,4
