survey_event_id,habitat_type,admin_unit_code,plot_name,date,observer,visit,temperature,humidity,sky,wind,bird_observation_count,unique_species_count
Forest|ANTI|ANTI-0025|2018-05-23|08:28:00|Elizabeth Oswald|1,Forest,ANTI,ANTI-0025,2018-05-23,Elizabeth Oswald,1,28.5,66.0,Partly Cloudy,Light breeze (4-7 mph) wind felt on face,8,8
Forest|ANTI|ANTI-0025|2018-06-25|05:40:00|Kimberly Serno|2,Forest,ANTI,ANTI-0025,2018-06-25,Kimberly Serno,2,22.8999996185303,68.0999984741211,Partly Cloudy,Light air movement (1-3 mph) smoke drifts,14,8
Forest|ANTI|ANTI-0036|2018-05-22|06:19:00|Elizabeth Oswald|1,Forest,ANTI,ANTI-0036,2018-05-22,Elizabeth Oswald,1,19.8999996185303,79.4000015258789,Cloudy/Overcast,Calm (< 1 mph) smoke rises vertically,19,16
Forest|ANTI|ANTI-0036|2018-06-25|08:17:00|Kimberly Serno|2,Forest,ANTI,ANTI-0036,2018-06-25,Kimberly Serno,2,22.3999996185303,78.8000030517578,Cloudy/Overcast,Light breeze (4-7 mph) wind felt on face,15,11
Forest|ANTI|ANTI-0052|2018-05-23|09:26:00|Elizabeth Oswald|1,Forest,ANTI,ANTI-0052,2018-05-23,Elizabeth Oswald,1,27.5,62.9000015258789,Partly Cloudy,Light air movement (1-3 mph) smoke drifts,13,9
Forest|ANTI|ANTI-0052|2018-06-26|05:31:00|Kimberly Serno|2,Forest,ANTI,ANTI-0052,2018-06-26,Kimberly Serno,2,21.7000007629395,58.5,Partly Cloudy,Light air movement (1-3 mph) smoke drifts,16,12
Forest|ANTI|ANTI-0072|2018-05-23|10:01:00|Elizabeth Oswald|1,Forest,ANTI,ANTI-0072,2018-05-23,Elizabeth Oswald,1,26.1000003814697,61.2000007629395,Clear or Few Clouds,Light breeze (4-7 mph) wind felt on face,9,9
Forest|ANTI|ANTI-0072|2018-06-26|06:12:00|Kimberly Serno|2,Forest,ANTI,ANTI-0072,2018-06-26,Kimberly Serno,2,17.8999996185303,71.5,Partly Cloudy,Light air movement (1-3 mph) smoke drifts,15,12
Forest|ANTI|ANTI-0078|2018-05-22|07:21:00|Kimberly Serno|1,Forest,ANTI,ANTI-0078,2018-05-22,Kimberly Serno,1,21.7000007629395,75.8000030517578,Mist/Drizzle,Light air movement (1-3 mph) smoke drifts,14,10
Forest|ANTI|ANTI-0078|2018-06-26|08:00:00|Brian Swimelar|2,Forest,ANTI,ANTI-0078,2018-06-26,Brian Swimelar,2,24.2999992370605,52.4000015258789,Clear or Few Clouds,Light air movement (1-3 mph) smoke drifts,10,9
Forest|ANTI|ANTI-0082|2018-05-22|06:02:00|Kimberly Serno|1,Forest,ANTI,ANTI-0082,2018-05-22,Kimberly Serno,1,20.7999992370605,72.1999969482422,Cloudy/Overcast,Calm (< 1 mph) smoke rises vertically,11,9
Forest|ANTI|ANTI-0082|2018-06-25|05:50:00|Brian Swimelar|2,Forest,ANTI,ANTI-0082,2018-06-25,Brian Swimelar,2,24.1000003814697,70.0,Cloudy/Overcast,Light air movement (1-3 mph) smoke drifts,10,9
Forest|ANTI|ANTI-0092|2018-05-24|07:09:00|Kimberly Serno|1,Forest,ANTI,ANTI-0092,2018-05-24,Kimberly Serno,1,14.0,87.4000015258789,Partly Cloudy,Light air movement (1-3 mph) smoke drifts,17,13
Forest|ANTI|ANTI-0092|2018-06-26|10:09:00|Brian Swimelar|2,Forest,ANTI,ANTI-0092,2018-06-26,Brian Swimelar,2,29.6000003814697,49.5999984741211,Clear or Few Clouds,Light air movement (1-3 mph) smoke drifts,11,9
Forest|ANTI|ANTI-0190|2018-05-24|08:34:00|Brian Swimelar|1,Forest,ANTI,ANTI-0190,2018-05-24,Brian Swimelar,1,27.2999992370605,52.9000015258789,Clear or Few Clouds,Light air movement (1-3 mph) smoke drifts,15,14
Forest|ANTI|ANTI-0190|2018-06-26|08:14:00|Elizabeth Oswald|2,Forest,ANTI,ANTI-0190,2018-06-26,Elizabeth Oswald,2,21.2999992370605,69.5,Partly Cloudy,Light air movement (1-3 mph) smoke drifts,11,11
Forest|ANTI|ANTI-0194|2018-05-24|07:22:00|Brian Swimelar|1,Forest,ANTI,ANTI-0194,2018-05-24,Brian Swimelar,1,23.7999992370605,57.9000015258789,Clear or Few Clouds,Light air movement (1-3 mph) smoke drifts,11,8
Forest|ANTI|ANTI-0194|2018-06-26|10:31:00|Elizabeth Oswald|2,Forest,ANTI,ANTI-0194,2018-06-26,Elizabeth Oswald,2,25.1000003814697,67.9000015258789,Clear or Few Clouds,Light air movement (1-3 mph) smoke drifts,8,8
Forest|ANTI|ANTI-0200|2018-05-24|09:53:00|Brian Swimelar|1,Forest,ANTI,ANTI-0200,2018-05-24,Brian Swimelar,1,26.2000007629395,68.5999984741211,Clear or Few Clouds,Light air movement (1-3 mph) smoke drifts,8,6
