habitat_type,temperature_band,avg_bird_observations,avg_unique_species,survey_events
Forest,<=10C,,,0
Forest,10-15C,10.607142857142858,8.571428571428571,28
Forest,15-20C,11.526570048309178,9.579710144927537,207
Forest,20-25C,10.538271604938272,8.523456790123456,405
Forest,25-30C,9.280254777070065,7.719745222929936,157
Forest,30C+,8.117647058823529,6.9411764705882355,17
Grassland,<=10C,,,0
Grassland,10-15C,18.454545454545453,9.772727272727273,22
Grassland,15-20C,14.878504672897197,9.682242990654206,107
Grassland,20-25C,14.422924901185771,9.541501976284586,253
Grassland,25-30C,13.955128205128204,8.35897435897436,156
Grassland,30C+,12.625,8.285714285714286,56
